[08-Dec-2010 11:36:12] PHP Fatal error:  Cannot access protected property ThemeWidgets::$_rssUrl in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgetStatic.php on line 29
[08-Dec-2010 16:24:00] PHP Fatal error:  Access to undeclared static property: ThemeWidgets::$VALID_WIDGET in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 88
[09-Dec-2010 08:21:21] PHP Fatal error:  Cannot redeclare class zend_loader. If this code worked without the Zend Optimizer+, please set zend_optimizerplus.dups_fix=1 in your php.ini in /usr/local/zend/share/ZendFramework/library/Zend/Http/Client.php on line 27
[09-Dec-2010 08:24:54] PHP Fatal error:  Cannot redeclare class zend_loader. If this code worked without the Zend Optimizer+, please set zend_optimizerplus.dups_fix=1 in your php.ini in /usr/local/zend/share/ZendFramework/library/Zend/Http/Client.php on line 27
[09-Dec-2010 08:27:33] PHP Fatal error:  Cannot redeclare class zend_loader. If this code worked without the Zend Optimizer+, please set zend_optimizerplus.dups_fix=1 in your php.ini in /usr/local/zend/share/ZendFramework/library/Zend/Http/Client.php on line 27
[13-Dec-2010 12:09:37] PHP Catchable fatal error:  Object of class Zend_Cache_Core could not be converted to string in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 112
[13-Dec-2010 12:10:22] PHP Parse error:  syntax error, unexpected T_STRING in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 112
[13-Dec-2010 12:13:05] PHP Fatal error:  instanceof expects an object instance, constant given in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 112
[13-Dec-2010 12:13:25] PHP Notice:  Undefined variable: foo in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 112
[13-Dec-2010 12:13:34] PHP Notice:  Undefined variable: foo in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 112
[13-Dec-2010 12:35:50] PHP Parse error:  syntax error, unexpected '{' in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 123
[13-Dec-2010 12:35:51] PHP Parse error:  syntax error, unexpected '{' in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 123
[13-Dec-2010 12:38:22] PHP Warning:  Missing argument 2 for Zend_Cache_Core::touch(), called in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 123 and defined in /usr/local/zend/share/ZendFramework/library/Zend/Cache/Core.php on line 646
[13-Dec-2010 12:38:22] PHP Notice:  Undefined variable: extraLifetime in /usr/local/zend/share/ZendFramework/library/Zend/Cache/Core.php on line 652
[13-Dec-2010 12:38:23] PHP Warning:  Missing argument 2 for Zend_Cache_Core::touch(), called in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 123 and defined in /usr/local/zend/share/ZendFramework/library/Zend/Cache/Core.php on line 646
[13-Dec-2010 12:38:23] PHP Notice:  Undefined variable: extraLifetime in /usr/local/zend/share/ZendFramework/library/Zend/Cache/Core.php on line 652
